ChanQual,Exp_collection,Expi,WebCam,comments,ephysFN,expControlFN,pref_chan,pref_unit,stim_size,stimuli
NaN,BigGAN_FC6,NaN,,"Generate bigGan start at 942. CH 19 hash.  
19 (0, 3) 4 1 CMAES fc6 so 
19  （0， 3） CMAES hessian Biggan class。Hes workin well so far。 quiet channel， but VR and climbing at 12 blocks。 biggan really climbing fc6 is barely。fc6 was yellow background with gray/daark round object in center. Biggan looked similar, person with curve in similar spot. 31 blocks 1010 ",Beto-03082020-002,200803_Beto_generate_BigGAN,19,NaN,4,N:\Stimuli\2020-BigGAN\2020-08-03-Beto-01\2020-08-03-09-42-05
NaN,BigGAN_FC6,NaN,,"Generate bigGan start at 1011. CH 19 hash.  
19 (0, 3) 4 1 CMAES fc6  
19  （0， 3）4 1 CMAES  Biggan class。 so weird。 all I changed was the Hesiann to CMAES OPtimizer and now the natural images are climbing like crazy。 the unit looks the same too。 Images do not look like the last evolution either, fc6 is colorful and biggan in busy. Something is up. 31 blocks 1047 ",Beto-03082020-003,200803_Beto_generate_BigGAN(1),19,NaN,4,N:\Stimuli\2020-BigGAN\2020-08-03-Beto-02\2020-08-03-10-11-01
NaN,BigGAN_Hessian,2,,"block 28 at 223 pm 
28 (-0.5,0) 3 1 , 5/5 Hash 
BIG GAN GENERATE 
002 at 156 PM 
weakish PSTHs. Let's see 
46 s bumpy  
20 s bumpy at 216 PM 
stuff climbing, generation 20, same for fc6 and Biggie 
bumpie at 220 
going for generation 30 at least 
by gen 28, something crashed terribly, but I think that's baseline. He's been moving.  ",Beto-05082020-002,200805_Beto_generate_BigGAN,28,NaN,3,N:\Stimuli\2020-BigGAN\2020-08-05-Beto-01\2020-08-05-13-56-11
NaN,BigGAN_FC6,NaN,,"004 generate BigGAN 15:09 
28 (-0.5,0) 3 1 , 5/5 Hash   FC6 space CMAES-Hessian 
28 (-0.5,0) 3 1 , 5/5 Hash    BigGAN class CMAES-Hessian   
Specs:  
1/5 scaling,  0.2  init sigma 
1/5 scaling,  6 init sigma 
The score is meandering up and down.... 
Pick up some gradient around gen 17.  
Climbing of thread 0 is super slow, but at a steady pace....Like some of the in silico exps.  
Need better design for the CMAES Hessian algorithm.  
21 mins  21 generations~ pretty good performance  
Interestingly finds some new gradient around gen 23. Ear of the dog? 
So using Hessian in FC6 exp even makes it evolve slower  
So basically there is very large spread within each generation of images..Better analyze the max and the min separately.  
CMAES Hessina is evolving very slowly in the FC6 space.  
We are getting close to 32!  ",Beto-05082020-004,200805_Beto_generate_BigGAN(1),28,NaN,3,N:\Stimuli\2020-BigGAN\2020-08-05-Beto-02\2020-08-05-15-09-06
NaN,BigGAN_Hessian,3,,"Generate biggan start at 930.  
CH 20 (-0.4, 1.4) 3 1  cmaes op. Hash. Both started to climb at block 10.  
Fc6 is making its pink eye, biggan is making a dog..... but both are still climbing. Big gan is climbing higher but fc6 has higher peak psth. 30 blocks complete stop at 1002. ",Beto-07082020-002,200807_Beto_generate_BigGAN,20,NaN,3,N:\Stimuli\2020-BigGAN\2020-08-07-Beto-01\2020-08-07-09-30-49
NaN,BigGAN,NaN,,"Gen biggan start at 953. CH 19 (0.3, 3.5) 4 1 hash. Had a great receptive field.  
CMAES for both, fc6 vs big gan class. Big gan climbing at 7. biggan was doing great, making white dog face and climbing. Fc6 was doing nothing. Decided to try dif location closer to fovea. 23 blocks stop at 1021.  ",Beto-11082020-002,200811_Beto_generate_BigGAN(1),19,NaN,4,N:\Stimuli\2020-BigGAN\2020-08-11-Beto-01\2020-08-11-09-53-11
NaN,BigGAN_Hessian,4,,"Gen biggan start at 1022. CH 19 (0, 2) 4 1 hash. Had a great receptive field.  
CMAES for both, fc6 vs big gan class. Looks like both might be climbing at 15. 20 blocks, fc6 is sure trying, starting to climb a bit. 23 blocks com, both climbed!! Yayayay. Stop 1049. Biggan did better, made little dog face.  
Now doing hess sel. Started python at 1051. I played video and gave dry treats. 1057 done. Took 6 min ",Beto-11082020-003,200811_Beto_generate_BigGAN(2),19,NaN,4,N:\Stimuli\2020-BigGAN\2020-08-11-Beto-02\2020-08-11-10-22-40
NaN,BigGAN_Hessian,5,,"Generate BIggan fc6 vs biggan. CH 28 (-1.5, 0) 3 1 CMAES hash. 
Start at 10:11. Block 12, still neither climbing. Both climbing together around 20. 30 blocks complete stop at 1042.  ",Beto-13082020-003,200813_Beto_generate_BigGAN(1),28,NaN,3,N:\Stimuli\2020-BigGAN\2020-08-13-Beto-01\2020-08-13-10-11-18
NaN,BigGAN_Hessian,6,,"CH 26 (-2, 0) 4 1 CMAES. Hash. Fc6 vs bigGAN class.  
Start at 9:51. Fc6 started out gray, all good. Nothing yet. Psth looks good tho. Both are trying to climb. Biggan started much higher than fc6 but is staying flat. Fc6 is climbing. Biggan psth looks good and is higher than fc6 but it never climbed. Fc6 climbed. 32 blocks at 1024. complete 
CH 25 (-2, 0) 4 1 CMAES. Hash. Fc6 vs bigGAN class. Start at 1026.  
Both climbing block 7.  
His head is moving more it seems. Bumpy. Stopped at 1040. Checked, hp screws were loose, he musy have bumped enough ",Beto-17082020-002,200817_Beto_generate_BigGAN(1),26,NaN,4,N:\Stimuli\2020-BigGAN\2020-08-17-Beto-01\2020-08-17-09-51-16
NaN,BigGAN_FC6,7,,"002 at 402 PM 
big gan 
25 (-0.1,0) 3 1 CMAES, fc6 and biggan class 
modest psths at first, comparable 
5 min in, not much happening on any front.  
biggan moving into reference territory, but fc6 crashing. Of note, we haven't had particularly good evolutions from 25 before (only two, kinda meh). 
Will go to 25 
411 PM, noise increasing, movement noise.  Block 15 is corrupted by noise. May be a reason to subtract baseline now. Yeah, signal is unstable. 
414 bumpies begin. Starting acq reward. More instability.  
He tongues the lixit out of the way. Should righten it up 
Baseline is acting weird. Not sure what to believe here, although images are looking similar. Brown contour on the left side of the image, and background being cleared up 
ended at block 35, gotta get those hessians 
entered into proj biggan ",Beto-18082020-002,200818_Beto_generate_BigGAN,25,NaN,3,N:\Stimuli\2020-BigGAN\2020-08-18-Beto-01\2020-08-18-16-02-08
NaN,BigGAN_FC6,NaN,,"Generate bigGAN start at 938.  
CH 15 (0, 1.5) hash. 4 1 CMAES  fc6 vs bigGAN. Hes working pretty well. Looking good, psth, both look to be climbing at block 7. fc6 is winning so far. Fc6 is climbing like crazy, biggan still struggling. Biggan is trying to make two objects in lower half of image, but is is so busy it doesn’t look like much. 28 blocks stop at 1008 
entered into proj biggan ",Beto-20082020-002,200820_Beto_generate_BigGAN(1),15,NaN,4,N:\Stimuli\2020-BigGAN\2020-08-20-Beto-01\2020-08-20-09-38-38
NaN,BigGAN_Hessian,8,,"Generate biggan start at 1011 
CH 49 (0, 0) 3 1 CMAES. Hash. Fc6 vs bigGAN. Sounds very VR. Both are climbing at block 12. Biggan is a wheel. Both are climbing, fc6 more so.  it doesn’t help biggan started out higher to begin with though. 29 blocks stop at 1041. 
entered into proj biggan ",Beto-20082020-003,200820_Beto_generate_BigGAN(2),49,NaN,3,N:\Stimuli\2020-BigGAN\2020-08-20-Beto-02\2020-08-20-10-11-12
NaN,BigGAN_Hessian,9,,"CH 52 (0, 0) 3 1 CMAES fc6 vs BigGAN. Hash. Sounds VR.  
Beto is working well so far. Both are climbing at block 7. they started out similar as well. Climbing together but fc6 is staying slightly above. Block 15, fc6 is taking off. Stop at 1006. 27 blocks. Complete 
entered into proj biggan ",Beto-24082020-002,200824_Beto_generate_BigGAN(1),52,NaN,3,N:\Stimuli\2020-BigGAN\2020-08-24-Beto-01\2020-08-24-09-44-23
NaN,BigGAN_FC6,NaN,,"CH 62 (0, 0) 3 1 CMAES fc6 vs BigGAN. Hash. Fc6 is climbing fast at block 4. biggan started out very high. Fc6 is climbing, biggan very slight. Stop at 11. 22 blocks. Complete 
entered into proj biggan ",Beto-24082020-004,200824_Beto_generate_BigGAN(2),62,NaN,3,N:\Stimuli\2020-BigGAN\2020-08-24-Beto-02\2020-08-24-10-37-47
NaN,BigGAN_FC6,NaN,,"Generate bigGAN start at 1104. CH 61 (-3, -2.5) 3 1 CMAES hash 1/5. Noisey artifact from reward. But chan is visually responsive. Block 6, biggan is climbing more than fc6. Fc6 has not climbed yet. Wahoooo block 9, fc6 is climbing too! Block 14, both climbing stilll. Both making black object on left side. Biggan is making dog face. Images look very similar! Fc6 is still shooting up. 27 blocks at 1136. SO COOL. 
entered into proj biggan ",Beto-26082020-005,200826_Beto_generate_BigGAN(1),61,NaN,3,N:\Stimuli\2020-BigGAN\2020-08-26-Beto-01\2020-08-26-11-04-04
NaN,BigGAN_FC6,NaN,,"CH 1 (0, 0) 3 1 Cmaes fc6 vs bigGan. Start at 952. Ugh hes being super bumpy. Now hes settled in. Hmm. Not looking great. 7 blocks in, not climbing. psth is flat too. Block 23. Still neither climbing at 23. But fc6 evo image is interesting. Letting it go. Fc6 Jumped up at 24. Fc6 is climbing! Beto is bumping a lot...... stop 28 blocks. 1030. complete 
entered into biggan ",Beto-28082020-002,200828_Beto_generate_BigGAN,1,NaN,3,N:\Stimuli\2020-BigGAN\2020-08-28-Beto-01\2020-08-28-09-52-32
NaN,BigGAN_FC6,NaN,,"002 at 1052 AM 
13 (-1,0) 3 1, CMAES, hash 
FC6, BigGAN class , hash 5/5 
PSTHs are not impressive 
both started equally crappy 
1054 bumpy 
1057 bmpy 
1059 sleepy time. At 54% participation, not his best... 
1109 bmp, 71 % participation 
very wildly variable rates. Monkey misbehaving. The overall stability of the monkey and array are getting to a less useful stage. 
Biggan climbed – let's go to ~35 ish 
update popup broke his flow! STill good experiment though 
entered into biggan project ",Beto-31082020-002,200831_Beto_generate_BigGAN,13,NaN,3,N:\Stimuli\2020-BigGAN\2020-08-31-Beto-01\2020-08-31-10-52-29
NaN,BigGAN_FC6,NaN,,"003 at 240 PM 
27 (0,0) 5 1 CMAES , SU 1/5,  
using fc6 and Biggan class 
great psths, very transient 
Entered into project biggan 
86% participation. Maybe 1-2 is best 
256 pm, bumps ",Beto-01092020-003,200901_Beto_generate_BigGAN,27,NaN,5,N:\Stimuli\2020-BigGAN\2020-09-01-Beto-01\2020-09-01-14-40-41
NaN,BigGAN_FC6,NaN,,"004 at 316 PM 
29 (0,0) 5 1 CMAES, hash 5/5 
fc6 vs biggan 
bumpies. 3:30 PM. Has been working for an hour 
entered into project biggan ",Beto-01092020-004,200901_Beto_generate_BigGAN(1),29,NaN,5,N:\Stimuli\2020-BigGAN\2020-09-01-Beto-02\2020-09-01-15-16-24
NaN,BigGAN_FC6,NaN,,"Generate BigGAN start at 1017. CH 4 hash (-1, 0.5) 3 1 cmaes fc6 vs bigGAN. Block 8, neither climbing yet. Not looking promising. Both are making black object in center of image. Might be going up at 12. Biggan is very up and down. Hard to say, neither really climbed, kinda up and down along where they started. Give it a few more. Block 22, both jumped up, well see. 25 blocks stop, at 1047 . Call it a bust.  ",Beto-03092020-002,200903_Beto_generate_BigGAN(1),4,NaN,3,N:\Stimuli\2020-BigGAN\2020-09-03-Beto-01\2020-09-03-10-17-39
NaN,BigGAN_FC6,NaN,,"Generate BigGAN start at 1049. CH 60  hash (0, 0) 3 1 cmaes fc6 vs bigGAN.very active channel. Sounds vr. Both fc6 and BG started out high. Psth looks good too. Both climbing at block 10. He is sure bumping.......220 + 35 aq. This will be his last exp. For the day. 21 blocks at 1119. Both climbed.  
entered into Matlab, project biggan ",Beto-03092020-003,200903_Beto_generate_BigGAN(2),60,NaN,3,N:\Stimuli\2020-BigGAN\2020-09-03-Beto-02\2020-09-03-10-49-00
NaN,BigGAN_FC6,NaN,,"002 at 1050 AM 
5 (0,0) 3 2  CMAES , fc6 and biggan, hash 5/5. Very visually responsive tho 
good psths 
11 AM , first bump, has had around 50 cc 
1107 bump. It's a weak rise by BG, worth a manifold? Not sure 
Done at 21 blocks, 11:11 AM, going for a manifold 
entered into project biggan ",Beto-07092020-002,200907_Beto_generate_BigGAN,5,NaN,3,N:\Stimuli\2020-BigGAN\2020-09-07-Beto-01\2020-09-07-10-50-26
NaN,BigGAN_FC6,NaN,,"006 at 1135 AM 
51 (0,0) 2 1 CMAES hash 5/5 
fc6 and biggan. PSTH is okaish 
upped reward to 180 and then 200 upon 1138 bmp 
1141 AM, so one hour so far. He should go at least another 15-20 minutes. 
bmp 
Oh no, noise increasing across the board! Isolation in danger... 
Bad noise gone again, and even lower. He's moving a lot, and  I think the connector may have problems. It has become harder to plug in 
Upped to 400 ms 
1156 AM, has been on for one hour and 15 minutes, which is not bad. Let's finish him at 1 20' 
12 PM he's bumpy. Should not stop during a bump or he'll learn the wrong lesson. ",Beto-07092020-006,200907_Beto_generate_BigGAN(2),51,NaN,2,N:\Stimuli\2020-BigGAN\2020-09-07-Beto-02\2020-09-07-11-35-06
NaN,BigGAN_FC6,NaN,,"GenBG start at 1037. CH 17 (-1.5, 0) 3 1 CMAES. Hash 5/5. Sounds VR. Psth looks good. However, natural images starting on top, we will see how it goes. Fc6 has climbed, nothing from BG yet. They are staying together, under natural images. First shakes at 1049. Ouhh both look to be climbing at 16! Shake again at 1053. Looks like we lost waves in CH 35 & 50, just noise. Block 20, fc6 climbed but is about equal with natural images. BG is struggling to climb, but its still there. 25 blocks complete. 1102. Both climbed, on to sel.  
entered into biggan ",Beto-10092020-002,200910_Beto_generate_BigGAN(1),17,NaN,3,N:\Stimuli\2020-BigGAN\2020-09-10-Beto-01\2020-09-10-10-37-41
NaN,BigGAN_FC6,NaN,,"Gen BG start at 1130. CH 4 (0, 1.5) hash. Receptive field wasnt great, but best of the options, want to give it a try. It’s a pretty quiet unit. 7 blocks in, not much yet. Hes had 200 ml so far, would like for him to get to 300. And work for at least 10 more minutes. they are both very slight climb. making black object in center.  ugh hes at 20 blocks but not it kinda looks like its climbing more. Hes done. 20 blocks at 1155. 
entered into biggan  ",Beto-10092020-004,200910_Beto_generate_BigGAN(2),4,NaN,NaN,N:\Stimuli\2020-BigGAN\2020-09-10-Beto-02\2020-09-10-11-29-53
NaN,BigGAN_FC6,NaN,,"CH 51(0, 0) 3 1 cmaes. Hash 5/5. Start at 10:13. Fc6 vs BG. Both climbing at block 6. block 15, doing the same thing again! Hes not moving or bumping but noise is taken over. 22 blocks, stop at 1030.  ",Beto-14092020-002,200914_Beto_generate_BigGAN(2),51,NaN,3,N:\Stimuli\2020-BigGAN\2020-09-14-Beto-01\2020-09-14-10-12-27
NaN,BigGAN_FC6,NaN,,"59, (0, 0)  3 1 CMAES. Fc6 vs BG. Hash 5/5. Start at 1033. looking good so far, psth high.  Bumping at 1038. Both climbed, stayed pretty high. Stop at 20 blocks, 1052. BG image was busy, but making 2 people or 2 round objects.  
Completed 
entered into biggan ",Beto-14092020-003,200914_Beto_generate_BigGAN(3),59,NaN,3,N:\Stimuli\2020-BigGAN\2020-09-14-Beto-02\2020-09-14-10-33-12
NaN,BigGAN_FC6,NaN,,"Generate BG fc6 vs BG start at 959. CH 29 (0,1)  3 1 CMAES. SU 2/5(see picture). Very VR, it sounds great.  
Both Look to be climbing at block 8. taking another nap. Block 20, fc6 really climbing, BG right behind. Block 23, fc6 still going up. bumps at 1019. 30 blocks, fc6 slowing climb. BG staying flat too. Both successful. Stop 35 blocks complete at 1028. complete 
entered into biggan 
Doing Hessian selectivity images. Hes taking a nap while waiting. Thats nice. ",Beto-17092020-002,200917_Beto_generate_BigGAN(1),29,NaN,3,N:\Stimuli\2020-BigGAN\2020-09-17-Beto-01\2020-09-17-09-59-59
NaN,BigGAN_FC6,NaN,,"CH 64 (0, 0) 3 1 CMAES. Hash 5/5. Generate BG start at 1057. Blasting him, hes has been working pretty well for 1 hour, 15 minutes. This will be last exp today. Fc6 climbing a bit at B8, BG pretty flat. Both climbing at block 13. 16 blocks complete stop at 1117. Only 16 blocks, may not keep 
completed 
entered into biggan ",Beto-17092020-004,200917_Beto_generate_BigGAN(2),64,NaN,3,N:\Stimuli\2020-BigGAN\2020-09-17-Beto-02\2020-09-17-10-57-23
NaN,BigGAN_FC6,NaN,,"BG CH 57 (0,0) 3 1 cmaes. Fc6 vs BG. Start at 955. Hash 5/5. Looks good off the start. Fc6 and BG psth are high. Block 17, fc6 climbing. BG staying the same but it started higher than the rest. Both are making black blob on right side of image. 24 blocks stop at 1015. complete 
entered into biggan ",Beto-23092020-002,200923_Beto_generate_BigGAN(1),57,NaN,3,N:\Stimuli\2020-BigGAN\2020-09-23-Beto-01\2020-09-23-09-55-07
NaN,BigGAN_FC6,NaN,,"CH 27 (0, 0) 3 1 hash. This ch has a SU (labeled as 2) but it is sparse and seems suppressed. Start at 1017. Block 10, still nothing. We will give it a few more. 18 blocks stop at 1033. Neither climbed.  complete ",Beto-23092020-003,200923_Beto_generate_BigGAN(2),27,NaN,3,N:\Stimuli\2020-BigGAN\2020-09-23-Beto-02\2020-09-23-10-17-04
NaN,BigGAN_FC6,NaN,,"CH 54 (0, 0) 3 1 cmaes. Napping. Hash 5/5. Start at 1034. Psth for both look good to start. Sounds VR. Fc6 already climbing at blcok 5. fc6 really climbing at block 8. shaking monkey. Fc6 still climbing at 16. Bg , same story, staying high but not climbing. both climved. BG very slight. 20 blocks at 1058. complete 
entered into biggan ",Beto-23092020-004,200923_Beto_generate_BigGAN(3),54,NaN,3,N:\Stimuli\2020-BigGAN\2020-09-23-Beto-03\2020-09-23-10-34-45
NaN,BigGAN_FC6,NaN,,"BG vs fc6 CH 55 hash (0,0) 3 1 cmaes. Start at 1038. Fc6 climbing fast. Kinda weird, BG and fc6 are climbing together (same curve).... but fc6 higher. Hes almost done, just a few more blocks. Block 14 they are doing their own thing... napping. 18 blocks stop at 1102. complete ",Beto-29092020-005,200929_Beto_generate_BigGAN(2),55,NaN,3,N:\Stimuli\2020-BigGAN\2020-09-29-Beto-02\2020-09-29-10-38-39
NaN,BigGAN_FC6,NaN,,"003 FC6 BigGAN evol 
FC6 CMAES_Hessian ,   ch5 2 (-0.5 0.7) 
BigGAN CMAES,   ch5 2 (-0.5 0.7) 
This CMAES only cut off Spectrum no rescaling!!! Use this version to save time. 
4 mins finish 5 blocks pretty efficient  
Taking a nap!  
CMAES-Hessian goes up immediately.  
Both climb .  
11block 10 mins.  CMA Hessian does well on the FC6 
~ 21 blocks. BigGAN also climbs a bit. Not too dramatic but steady. 
Terminate ~ 30. Very efficient here!  
During Saving the matlab crushed....  
So TrialRecord is missing. Need to fix this bug!!!!! 
Finished ",Beto-16102020-003,201016_Beto_generate_BigGAN(2),5,NaN,3,N:\Stimuli\2020-BigGAN\2020-10-16-Beto-01\2020-10-16-11-21-49
5,BigGAN_FC6,NaN,,"BG start at 1012. CH 5 (0,0) 3 2 hash. cmaes. Fc6 vs BG class. I am doing the hash of CH 5 because it had better RF. I does have SU. Hmmmm evo images started about 20-40 s/s lower than natural. B9, might climb, psth is looking better. Fc6 climing B11. Fc6 still climbing at 17, good sign! Fc6 climbed! BG did not, 25 blocks stop at 1032",Beto-27102020-002,201027_Beto_generate_BigGAN,5,NaN,3,N:\Stimuli\2020-BigGAN\2020-10-27-Beto-01\2020-10-27-10-12-38
5,BigGAN_FC6,NaN,,"CH 42, same as above, start at 1053. B10, fc6 is climbing, maybe.... B15-wahoo fc6 is climbing. BG might be too. His channels look better after re adjusting. He bumped and they stayed the same. 19 blocks stop at 1120.",Beto-27102020-004,201027_Beto_generate_BigGAN(2),42,NaN,2,N:\Stimuli\2020-BigGAN\2020-10-27-Beto-03\2020-10-27-10-53-12
5,BigGAN_FC6,NaN,,"Lets try CH 39 for fun. (0,0) 3 2 hash. It climbed!",Beto-10112020-002,201110_Beto_generate_BigGAN(2),39,NaN,3,N:\Stimuli\2020-BigGAN\2020-11-10-Beto-01\2020-11-10-13-33-32
2,BigGAN_FC6,NaN,,"CH 29 (0, 1). 3 degrees. SU (2/5), this might be a long shot but the rf looked good and it sounds like a good unit. Start at 1208. Psth for evo images is spiking. Block 8, looks like fc6 is climbing. Yep, fc6 is climbing! At block 23, it is getting a littl more noisey. 28 blocks complete stop at 1233.
CH 25 (0,0) 3 1, hash (5/5). Start at 1235. Ehh this one not looking so hot. Psth not great. Nothing climing yet at 5 blocks. This one is not climbing. I want him to go 15 more minutes then stop. Yeah, 11 blocks in.... everything is climbing, unstable I stopped recording, no sense in saving.",Beto-20112020-002,201120_Beto_generate_BigGAN,29,NaN,3,N:\Stimuli\2020-BigGAN\2020-11-20-Beto-01\2020-11-20-12-08-07
5,BigGAN_FC6,NaN,,"BG start at 1048. CH 48 (0,0) 3 1 cmaes. Hash 5/5. Fc6 vs BG. Psth actually looks decent. Sounds good too. 7 blocks in, BG started off high but fc6 is climbing. 12 blocks in, so far so good, no noise yet, looks to be climbing. Damn, he starts shaking and it moves, all goes noisey......22 blocks stop at 1109. Both climbed!! Fc6 more than BG.
Start at 1113. CH 34 (0,0) 3 1 cmaes, fc6 vs bg. Hash 5/5. Ugh, channels not looking so good after he bumped. Much more noise. 34's psth not so great. Ugh, block 6, he bumps and they all go crazy. Surprisingly, when he stops bumping, channels return to normal. But that one little bump spurt made baseline climb .  I stopped recording, wasn’t worth keeping. But i am letting him keep working to get his water. Stopped at 16 blocks. Dont Save.",Beto-24112020-002,201124_Beto_generate_BigGAN(1),48,NaN,3,N:\Stimuli\2020-BigGAN\2020-11-24-Beto-02\2020-11-24-10-48-51
